"article_name","count_numbers","total_words","count_SDG_1","norm_SDG_1","count_SDG_2","norm_SDG_2","count_SDG_3","norm_SDG_3","count_SDG_4","norm_SDG_4","count_SDG_5","norm_SDG_5","count_SDG_6","norm_SDG_6","count_SDG_7","norm_SDG_7","count_SDG_8","norm_SDG_8","count_SDG_9","norm_SDG_9","count_SDG_10","norm_SDG_10","count_SDG_11","norm_SDG_11","count_SDG_12","norm_SDG_12","count_SDG_13","norm_SDG_13","count_SDG_14","norm_SDG_14","count_SDG_15","norm_SDG_15","count_SDG_16","norm_SDG_16","count_SDG_17","norm_SDG_17","count_environmental_keywords","norm_environmental_keywords","count_social_keywords","norm_social_keywords","count_governance_keywords","norm_governance_keywords","Name","Region","Sector","Country","Year","tfidf_numbers","tfidf_SDG_1","tfidf_SDG_2","tfidf_SDG_3","tfidf_SDG_4","tfidf_SDG_5","tfidf_SDG_6","tfidf_SDG_7","tfidf_SDG_8","tfidf_SDG_9","tfidf_SDG_10","tfidf_SDG_11","tfidf_SDG_12","tfidf_SDG_13","tfidf_SDG_14","tfidf_SDG_15","tfidf_SDG_16","tfidf_SDG_17","tfidf_environmental_keywords","tfidf_social_keywords","tfidf_governance_keywords"
"ACCLimited_2016",3115,23804,3,1.26029238783398,5,2.10048731305663,109,45.7906234246345,28,11.7627289531171,7,2.94068223827928,34,14.2833137287851,38,15.9637035792304,30,12.6029238783398,87,36.5484792471853,7,2.94068223827928,25,10.5024365652831,45,18.9043858175097,21,8.82204671483784,1,0.420097462611326,40,16.803898504453,162,68.0557889430348,20,8.40194925222652,248,104.184170727609,184,77.297933120484,215,90.320954461435,"ACC Limited","Asia","Construction Materials","India",2016,0,4.21509516658038,7.88548896886736,15.3049460093998,7.09244350883478,7.93971741500625,8.28317172425369,11.1164731531381,3.93938334697219,13.0115052196543,4.91495091085231,8.82559116556429,3.49417432461179,7.19885365313306,0.898503696626958,17.907418339314,8.32625583748898,4.87245395544335,2.09961446127017,6.27496135473459,11.0502778090132
"AGLResources_2011",500,6422,0,0,0,0,9,14.0143257552164,1,1.55714730613516,0,0,7,10.9000311429461,11,17.1286203674868,3,4.67144191840548,8,12.4571784490813,1,1.55714730613516,12,18.6857676736219,18,28.0286515104329,4,6.22858922454064,2,3.11429461227032,8,12.4571784490813,15,23.3572095920274,4,6.22858922454064,71,110.557458735596,24,37.3715353472438,25,38.928682653379,"AGL Resources","Northern America","Energy","United States of America",2011,0,0,0,4.68411397356816,0.93889601194723,0,6.32114028096866,11.9276737707153,1.46018500765067,4.43483958159131,2.60256020558634,15.702351076058,5.18064936923445,5.08257366372082,6.66084770928312,13.2752471550617,2.85762762776664,3.61208016055352,2.2280547758972,3.03378021383225,4.7627127129444
"AnadarkoPetroleumCorporation_2014",161,3398,0,0,0,0,12,35.3148911124191,3,8.82872277810477,0,0,7,20.6003531489111,0,0,2,5.88581518540318,2,5.88581518540318,0,0,1,2.94290759270159,4,11.7716303708064,3,8.82872277810477,10,29.4290759270159,14,41.2007062978222,19,55.9152442613302,4,11.7716303708064,33,97.1159505591525,28,82.4014125956445,44,129.48793407887,"Anadarko Petroleum Corporation","Northern America","Energy","United States of America",2014,0,0,0,11.8035628558975,5.32335802418344,0,11.9465458753328,0,1.83977008419317,2.09538992002497,0,2.47303557510409,2.1757981982358,7.20430136883794,62.9428546042028,43.906375854079,6.84092618961801,6.82659764304729,1.95716923972175,6.68925621603958,15.842144860168
"AnadarkoPetroleumCorporation_2015",2195,40690,15,3.68640943720816,13,3.19488817891374,150,36.8640943720816,50,12.2880314573605,1,0.245760629147211,34,8.35586139100516,183,44.9741951339395,44,10.8134676824773,177,43.4996313590563,6,1.47456377488326,14,3.44064880806095,209,51.363971491767,79,19.4150897026296,5,1.22880314573605,43,10.5677070533301,56,13.7625952322438,28,6.8812976161219,1085,266.650282624724,189,46.4487589088228,126,30.9658392725485,"Anadarko Petroleum Corporation","Northern America","Energy","United States of America",2015,0,12.3293346455246,11.9940050744357,12.3213647654029,7.40917939140466,0.663543283175258,4.84572670740071,31.3181982056407,3.38004060982907,15.4861622737692,2.46453305091307,2.89130617790248,9.49381123138055,15.8428530191988,2.62816195557976,11.2616932934433,1.68377871553858,3.99059846491823,5.37377977470702,3.77065925778304,3.78850210996181
"ANGKORGOLDCORP._2016",53,1376,5,36.3372093023256,2,14.5348837209302,10,72.6744186046512,4,29.0697674418605,2,14.5348837209302,5,36.3372093023256,0,0,4,29.0697674418605,4,29.0697674418605,0,0,0,0,0,0,0,0,0,0,2,14.5348837209302,2,14.5348837209302,4,29.0697674418605,3,21.8023255813953,27,196.220930232558,7,50.8720930232558,"ANGKOR GOLD CORP.","Asia","Mining","Cambodia",2016,0,121.531159575193,54.5657498299182,24.2905199759809,17.5278784555962,39.2435700470948,21.0726551517757,0,9.0865388751285,10.3490333550071,0,0,0,0,0,15.48939629902,1.77826401410052,16.8581241214206,0.439380356539013,15.9289997092184,6.22392404935182
"Antamina_2017",1899,9689,0,0,7,7.22468779027763,71,73.2789761585303,18,18.5777686035711,3,3.09629476726184,10,10.3209825575395,1,1.03209825575395,27,27.8666529053566,16,16.5135720920632,4,4.12839302301579,9,9.28888430178553,19,19.609866859325,0,0,1,1.03209825575395,10,10.3209825575395,66,68.1184848797605,6,6.19258953452369,103,106.306120342657,122,125.915987201982,118,121.787594178966,"Antamina","Latin America & the Caribbean","Mining","Peru",2017,0,0,27.1223708515725,24.4925858145673,11.2016331300497,8.35986464828194,5.98533873234459,0.718711199725405,8.71047301808169,5.87894308865299,6.90004815368995,7.80579770438985,3.62457124766487,0,2.20744989106287,10.9987662851953,8.33392634454293,3.59120323940675,2.14237792588025,10.2217216132304,14.9000501311525
"ApacheCorporation_2014",700,4678,0,0,1,2.13766566908935,22,47.0286447199658,6,12.8259940145361,0,0,18,38.4779820436084,0,0,6,12.8259940145361,3,6.41299700726806,1,2.13766566908935,5,10.6883283454468,3,6.41299700726806,2,4.27533133817871,6,12.8259940145361,24,51.3039760581445,28,59.8546387345019,2,4.27533133817871,45,96.194955109021,47,100.4702864472,19,40.6156477126977,"Apache Corporation","Northern America","Energy","United States of America",2014,0,0,8.02506111222397,15.7187392200277,7.7335487670694,0,22.3141309448132,0,4.00910992694853,2.28307020572195,3.57281779398792,8.98180299722499,1.18534025399828,3.48870116165189,27.4322129044567,54.6731320413462,7.32288968953237,2.47934788275702,1.9386084991375,8.15606755969292,4.96910371789697
"APERAM_2017",1307,15134,0,0,0,0,41,27.0913175631029,10,6.60763843002511,0,0,7,4.62534690101758,10,6.60763843002511,15,9.91145764503766,20,13.2152768600502,5,3.30381921501255,3,1.98229152900753,31,20.4836791330778,9,5.9468745870226,1,0.660763843002511,5,3.30381921501255,61,40.3065944231532,10,6.60763843002511,183,120.919783269459,64,42.2888859521607,105,69.3802035152636,"APERAM","Europe","Metals Products","Luxembourg",2017,0,0,0,9.0549357404846,3.98413518483224,0,2.68232872237219,4.60129034897545,3.09809307490835,4.70472773109875,5.52188504039761,1.66579388480316,3.78608151522669,4.85269249067887,1.41324051767597,3.52078256036928,4.9312927278823,3.83189817481741,2.43688579400414,3.43296533777908,8.48829076110887
"ArcelorMittal_2008",770,14948,1,0.668985817500669,0,0,114,76.2643831950763,14,9.36580144500937,0,0,1,0.668985817500669,15,10.03478726251,33,22.0765319775221,25,16.7246454375167,4,2.67594327000268,2,1.33797163500134,24,16.0556596200161,19,12.7107305325127,6,4.01391490500401,24,16.0556596200161,56,37.4632057800375,15,10.03478726251,134,89.6440995450896,98,65.5606101150656,210,140.48702167514,"ArcelorMittal","Europe","Metals Products","Luxembourg",2008,0,2.23744816129871,0,25.4904209627527,5.64719445023759,0,0.387957900573232,6.98781724726329,6.90061475183695,5.95408662383333,4.47247568645317,1.12434772333472,2.96763270441742,10.3720476535304,8.58495397157136,17.1100422591262,4.58341958357405,5.81936850859848,1.80658968111876,5.3221383581321,17.1878234384027
"ArcelorMittalPoland_2011",421,6907,0,0,0,0,37,53.5688432025481,13,18.8214854495439,0,0,11,15.9258723034603,3,4.34341971912552,10,14.4780657304184,1,1.44780657304184,2,2.89561314608368,4,5.79122629216737,4,5.79122629216737,1,1.44780657304184,0,0,0,0,13,18.8214854495439,1,1.44780657304184,51,73.8381352251339,27,39.0907774721297,30,43.4341971912553,"ArcelorMittal Poland","Europe","Metals Products","Poland",2011,0,0,0,17.9047191692072,11.3485844003803,0,9.23572342195677,3.02458063448941,4.52550944410627,0.515428908950691,4.83962404525133,4.86658455723393,1.07041585023965,1.18142059028576,0,0,2.30270643435863,0.839611220177888,1.48805346751999,3.17334640218395,5.31393792544299
